Time (s),InputForce (N), Displacement (mm) 
4.46 , -92.7051 , NaN
4.465 , -136.197 , NaN
4.47 , -176.3355 , NaN
4.475 , -212.1321 , NaN
4.48 , -242.7051 , NaN
4.485 , -267.3021 , NaN
4.49 , -285.3171 , NaN
4.495 , -296.3064 , NaN
4.5 , -300 , NaN
4.505 , -296.3064 , NaN
4.51 , -285.3171 , NaN
4.515 , -267.3021 , NaN
4.52 , -242.7051 , NaN
4.525 , -212.1321 , NaN
4.53 , -176.3355 , NaN
4.535 , -136.197 , NaN
4.54 , -92.7051 , NaN
4.545 , -46.9302 , NaN
4.55 , 0 , NaN
4.555 , 46.9302 , NaN
4.56 , 92.7051 , NaN
4.565 , 136.197 , NaN
4.57 , 176.3355 , NaN
4.575 , 212.1321 , NaN
4.58 , 242.7051 , NaN
4.585 , 267.3021 , NaN
4.59 , 285.3171 , NaN
4.595 , 296.3064 , NaN
4.6 , 300 , NaN
4.605 , 296.3064 , NaN
4.61 , 285.3171 , NaN
4.615 , 267.3021 , NaN
4.62 , 242.7051 , NaN
4.625 , 212.1321 , NaN
4.63 , 176.3355 , NaN
4.635 , 136.197 , NaN
4.64 , 92.7051 , NaN
4.645 , 46.9302 , NaN
4.65 , 0 , NaN
4.655 , -46.9302 , NaN
4.66 , -92.7051 , NaN
4.665 , -136.197 , NaN
4.67 , -176.3355 , NaN
4.675 , -212.1321 , NaN
4.68 , -242.7051 , NaN
4.685 , -267.3021 , NaN
4.69 , -285.3171 , NaN
4.695 , -296.3064 , NaN
4.7 , -300 , NaN
4.705 , -296.3064 , NaN
4.71 , -285.3171 , NaN
4.715 , -267.3021 , NaN
4.72 , -242.7051 , NaN
4.725 , -212.1321 , NaN
4.73 , -176.3355 , NaN
4.735 , -136.197 , NaN
4.74 , -92.7051 , NaN
4.745 , -46.9302 , NaN
4.75 , 0 , NaN
4.755 , 46.9302 , NaN
4.76 , 92.7051 , NaN
4.765 , 136.197 , NaN
4.77 , 176.3355 , NaN
4.775 , 212.1321 , NaN
4.78 , 242.7051 , NaN
4.785 , 267.3021 , NaN
4.79 , 285.3171 , NaN
4.795 , 296.3064 , NaN
4.8 , 300 , NaN
4.805 , 296.3064 , NaN
4.81 , 285.3171 , NaN
4.815 , 267.3021 , NaN
4.82 , 242.7051 , NaN
4.825 , 212.1321 , NaN
4.83 , 176.3355 , NaN
4.835 , 136.197 , NaN
4.84 , 92.7051 , NaN
4.845 , 46.9302 , NaN
4.85 , 0 , NaN
4.855 , -46.9302 , NaN
4.86 , -92.7051 , NaN
4.865 , -136.197 , NaN
4.87 , -176.3355 , NaN
4.875 , -212.1321 , NaN
4.88 , -242.7051 , NaN
4.885 , -267.3021 , NaN
4.89 , -285.3171 , NaN
4.895 , -296.3064 , NaN
4.9 , -300 , NaN
4.905 , -296.3064 , NaN
4.91 , -285.3171 , NaN
4.915 , -267.3021 , NaN
4.92 , -242.7051 , NaN
4.925 , -212.1321 , NaN
4.93 , -176.3355 , NaN
4.935 , -136.197 , NaN
4.94 , -92.7051 , NaN
4.945 , -46.9302 , NaN
4.95 , 0 , NaN
4.955 , 46.9302 , NaN
4.96 , 92.7051 , NaN
4.965 , 136.197 , NaN
4.97 , 176.3355 , NaN
4.975 , 212.1321 , NaN
4.98 , 242.7051 , NaN
4.985 , 267.3021 , NaN
4.99 , 285.3171 , NaN
4.995 , 296.3064 , NaN
5 , 300 , NaN
