Time (s),InputForce (N), Displacement (mm) 
0.67 , -176.3355 , -0.467167463260765
0.675 , -212.1321 , -0.469615996932771
0.68 , -242.7051 , -0.460501026194154
0.685 , -267.3021 , -0.440046991875353
0.69 , -285.3171 , -0.408757540184345
0.695 , -296.3064 , -0.367403121265499
0.7 , -300 , -0.317002018160045
0.705 , -296.3064 , -0.25879527329811
0.71 , -285.3171 , -0.194216129915306
0.715 , -267.3021 , -0.124854740847606
0.72 , -242.7051 , -0.0524190136911098
0.725 , -212.1321 , 0.0213074435511939
0.73 , -176.3355 , 0.0945092408179147
0.735 , -136.197 , 0.165383906917513
0.74 , -92.7051 , 0.232186272351083
0.745 , -46.9302 , 0.293271441177311
0.75 , 0 , 0.347135293809641
0.755 , 46.9302 , 0.39245152343239
0.76 , 92.7051 , 0.428104294076302
0.765 , 136.197 , 0.45321571620336
0.77 , 176.3355 , 0.467167463260765
0.775 , 212.1321 , 0.469615996932771
0.78 , 242.7051 , 0.460501026194154
0.785 , 267.3021 , 0.440046991875353
0.79 , 285.3171 , 0.408757540184344
0.795 , 296.3064 , 0.367403121265498
0.8 , 300 , 0.317002018160045
0.805 , 296.3064 , 0.258795273298109
0.81 , 285.3171 , 0.194216129915305
0.815 , 267.3021 , 0.124854740847606
0.82 , 242.7051 , 0.0524190136911099
0.825 , 212.1321 , -0.0213074435511921
0.83 , 176.3355 , -0.0945092408179146
0.835 , 136.197 , -0.165383906917513
0.84 , 92.7051 , -0.232186272351083
0.845 , 46.9302 , -0.293271441177311
0.85 , 0 , -0.347135293809641
0.855 , -46.9302 , -0.39245152343239
0.86 , -92.7051 , -0.428104294076302
0.865 , -136.197 , -0.45321571620336
0.87 , -176.3355 , -0.467167463260765
0.875 , -212.1321 , -0.469615996932771
0.88 , -242.7051 , -0.460501026194154
0.885 , -267.3021 , -0.440046991875353
0.89 , -285.3171 , -0.408757540184344
0.895 , -296.3064 , -0.367403121265499
0.9 , -300 , -0.317002018160045
0.905 , -296.3064 , -0.258795273298109
0.91 , -285.3171 , -0.194216129915305
0.915 , -267.3021 , -0.124854740847605
0.92 , -242.7051 , -0.0524190136911099
0.925 , -212.1321 , 0.0213074435511938
0.93 , -176.3355 , 0.0945092408179162
0.935 , -136.197 , 0.165383906917514
0.94 , -92.7051 , 0.232186272351083
0.945 , -46.9302 , 0.293271441177309
0.95 , 0 , 0.347135293809641
0.955 , 46.9302 , 0.39245152343239
0.96 , 92.7051 , 0.428104294076302
0.965 , 136.197 , 0.45321571620336
0.97 , 176.3355 , 0.467167463260765
0.975 , 212.1321 , 0.469615996932771
0.98 , 242.7051 , 0.460501026194154
0.985 , 267.3021 , 0.440046991875353
0.99 , 285.3171 , 0.408757540184345
0.995 , 296.3064 , 0.367403121265499
1 , 300 , 0.317002018160045
1.005 , 296.3064 , 0.258795273298112
1.01 , 285.3171 , 0.194216129915305
1.015 , 267.3021 , 0.124854740847608
1.02 , 242.7051 , 0.0524190136911084
1.025 , 212.1321 , -0.021307443551192
1.03 , 176.3355 , -0.0945092408179145
1.035 , 136.197 , -0.165383906917512
1.04 , 92.7051 , -0.232186272351083
1.045 , 46.9302 , -0.29327144117731
1.05 , 0 , -0.347135293809642
1.055 , -46.9302 , -0.392451523432389
1.06 , -92.7051 , -0.428104294076302
1.065 , -136.197 , -0.45321571620336
1.07 , -176.3355 , -0.467167463260766
1.075 , -212.1321 , -0.469615996932771
1.08 , -242.7051 , -0.460501026194154
1.085 , -267.3021 , -0.440046991875353
1.09 , -285.3171 , -0.408757540184344
1.095 , -296.3064 , -0.367403121265498
1.1 , -300 , -0.317002018160043
1.105 , -296.3064 , -0.258795273298111
1.11 , -285.3171 , -0.194216129915303
1.115 , -267.3021 , -0.124854740847606
1.12 , -242.7051 , -0.0524190136911101
1.125 , -212.1321 , 0.0213074435511936
1.13 , -176.3355 , 0.0945092408179128
1.135 , -136.197 , 0.165383906917514
1.14 , -92.7051 , 0.232186272351081
1.145 , -46.9302 , 0.293271441177309
1.15 , 0 , 0.347135293809641
1.155 , 46.9302 , 0.39245152343239
1.16 , 92.7051 , 0.428104294076302
1.165 , 136.197 , 0.45321571620336
1.17 , 176.3355 , 0.467167463260765
1.175 , 212.1321 , 0.469615996932771
1.18 , 242.7051 , 0.460501026194154
1.185 , 267.3021 , 0.440046991875352
1.19 , 285.3171 , 0.408757540184345
1.195 , 296.3064 , 0.367403121265499
1.2 , 300 , 0.317002018160045
1.205 , 296.3064 , 0.258795273298109
1.21 , 285.3171 , 0.194216129915305
1.215 , 267.3021 , 0.124854740847605
1.22 , 242.7051 , 0.0524190136911118
1.225 , 212.1321 , -0.0213074435511952
1.23 , 176.3355 , -0.0945092408179144
1.235 , 136.197 , -0.165383906917515
1.24 , 92.7051 , -0.232186272351082
1.245 , 46.9302 , -0.29327144117731
1.25 , 0 , -0.347135293809642
1.255 , -46.9302 , -0.392451523432389
1.26 , -92.7051 , -0.428104294076302
1.265 , -136.197 , -0.45321571620336
1.27 , -176.3355 , -0.467167463260765
1.275 , -212.1321 , -0.469615996932771
1.28 , -242.7051 , -0.460501026194154
1.285 , -267.3021 , -0.440046991875353
1.29 , -285.3171 , -0.408757540184344
1.295 , -296.3064 , -0.3674031212655
1.3 , -300 , -0.317002018160044
1.305 , -296.3064 , -0.258795273298111
1.31 , -285.3171 , -0.194216129915306
1.315 , -267.3021 , -0.124854740847606
1.32 , -242.7051 , -0.0524190136911102
1.325 , -212.1321 , 0.0213074435511935
1.33 , -176.3355 , 0.094509240817916
1.335 , -136.197 , 0.165383906917511
1.34 , -92.7051 , 0.232186272351084
1.345 , -46.9302 , 0.293271441177309
1.35 , 0 , 0.347135293809643
1.355 , 46.9302 , 0.39245152343239
1.36 , 92.7051 , 0.428104294076302
1.365 , 136.197 , 0.45321571620336
1.37 , 176.3355 , 0.467167463260765
1.375 , 212.1321 , 0.469615996932771
1.38 , 242.7051 , 0.460501026194154
1.385 , 267.3021 , 0.440046991875353
1.39 , 285.3171 , 0.408757540184345
1.395 , 296.3064 , 0.367403121265499
1.4 , 300 , 0.317002018160045
1.405 , 296.3064 , 0.258795273298109
1.41 , 285.3171 , 0.194216129915308
1.415 , 267.3021 , 0.124854740847605
1.42 , 242.7051 , 0.0524190136911119
1.425 , 212.1321 , -0.0213074435511951
1.43 , 176.3355 , -0.0945092408179143
1.435 , 136.197 , -0.165383906917512
1.44 , 92.7051 , -0.232186272351082
1.445 , 46.9302 , -0.29327144117731
1.45 , 0 , -0.347135293809642
1.455 , -46.9302 , -0.392451523432391
1.46 , -92.7051 , -0.428104294076301
1.465 , -136.197 , -0.45321571620336
1.47 , -176.3355 , -0.467167463260765
1.475 , -212.1321 , -0.46961599693277
1.48 , -242.7051 , -0.460501026194154
1.485 , -267.3021 , -0.440046991875353
1.49 , -285.3171 , -0.408757540184344
1.495 , -296.3064 , -0.367403121265498
1.5 , -300 , -0.317002018160046
1.505 , -296.3064 , -0.258795273298111
1.51 , -285.3171 , -0.194216129915306
1.515 , -267.3021 , -0.124854740847606
1.52 , -242.7051 , -0.0524190136911103
1.525 , -212.1321 , 0.0213074435511901
1.53 , -176.3355 , 0.0945092408179159
1.535 , -136.197 , 0.165383906917511
1.54 , -92.7051 , 0.232186272351084
1.545 , -46.9302 , 0.293271441177309
1.55 , 0 , 0.347135293809641
1.555 , 46.9302 , 0.39245152343239
1.56 , 92.7051 , 0.428104294076301
1.565 , 136.197 , 0.45321571620336
1.57 , 176.3355 , 0.467167463260765
1.575 , 212.1321 , 0.469615996932771
1.58 , 242.7051 , 0.460501026194153
1.585 , 267.3021 , 0.440046991875353
1.59 , 285.3171 , 0.408757540184344
1.595 , 296.3064 , 0.367403121265499
1.6 , 300 , 0.317002018160045
1.605 , 296.3064 , 0.25879527329811
1.61 , 285.3171 , 0.194216129915305
1.615 , 267.3021 , 0.124854740847605
1.62 , 242.7051 , 0.0524190136911087
1.625 , 212.1321 , -0.0213074435511917
1.63 , 176.3355 , -0.0945092408179142
1.635 , 136.197 , -0.165383906917512
1.64 , 92.7051 , -0.232186272351082
1.645 , 46.9302 , -0.29327144117731
1.65 , 0 , -0.347135293809639
1.655 , -46.9302 , -0.392451523432391
